identifiers,date,page
"Oral History , Accession Number: 1999.A.0122.855 , RG Number: RG-50.477.0855",interview: 1990 June 21interview: 1990 July 19,https://collections.ushmm.org/search/catalog/irn515919
"Oral History , Accession Number: 1990.432.1 , RG Number: RG-50.030.0195",interview: 1990 August 20,https://collections.ushmm.org/search/catalog/irn504690
"Oral History , Accession Number: 1996.A.0284 , RG Number: RG-50.030.0364",interview: 1996 June 24,https://collections.ushmm.org/search/catalog/irn504857
"Oral History , Accession Number: 2004.48 , RG Number: RG-50.549.02.0073",interview: 2004 January 12,https://collections.ushmm.org/search/catalog/irn514872
"Oral History , Accession Number: 1997.A.0441.70 , RG Number: RG-50.462.0070",interview: 1984 October 11-1984 October 15,https://collections.ushmm.org/search/catalog/irn508694
"Oral History , Accession Number: 1997.A.0441.36 , RG Number: RG-50.462.0036",interview: 1991 May 29,https://collections.ushmm.org/search/catalog/irn508656
"Oral History , Accession Number: 1997.A.0441.56 , RG Number: RG-50.462.0056",interview: 1985 April 21,https://collections.ushmm.org/search/catalog/irn508680
"Oral History , Accession Number: 1997.A.0441.14 , RG Number: RG-50.462.0014",interview: 1984 October 10,https://collections.ushmm.org/search/catalog/irn508635
"Oral History , RG Number: RG-50.447.0003",interview: 1990 March 03,https://collections.ushmm.org/search/catalog/irn513725
"Oral History , RG Number: RG-50.447.0018",interview: 1995 February 26,https://collections.ushmm.org/search/catalog/irn513744
"Oral History , Accession Number: 1992.A.0128.51 , RG Number: RG-50.165.0051",interview: 1989 November 23,https://collections.ushmm.org/search/catalog/irn511276
"Oral History , RG Number: RG-50.999.0441",interview: 2013 July 11,https://collections.ushmm.org/search/catalog/irn598554
"Oral History , Accession Number: 2010.496.5 , RG Number: RG-50.579.0005",undated:,https://collections.ushmm.org/search/catalog/irn44488
"Oral History , Accession Number: 1992.A.0124.117 , RG Number: RG-50.028.0117",interview: 1992 November 26,https://collections.ushmm.org/search/catalog/irn508861
"Oral History , RG Number: RG-50.999.0633",interview: 2018 March 22,https://collections.ushmm.org/search/catalog/irn706897
"Oral History , Accession Number: 1999.A.0122.981 , RG Number: RG-50.477.0981",interview: 2004 November 01,https://collections.ushmm.org/search/catalog/irn517029
"Oral History , Accession Number: 1993.A.0089.28 , RG Number: RG-50.155.0028",interview: 1984 May 23,https://collections.ushmm.org/search/catalog/irn508491
"Oral History , Accession Number: 1996.A.0459.2 , RG Number: RG-50.419.0002",interview: 1988 April 29,https://collections.ushmm.org/search/catalog/irn513443
"Oral History , Accession Number: 1999.A.0122.1347 , RG Number: RG-50.477.1347",interview: 1983 April 13,https://collections.ushmm.org/search/catalog/irn47626
"Oral History , Accession Number: 1992.A.0125.144 , RG Number: RG-50.233.0144",interview: 1992 April 09,https://collections.ushmm.org/search/catalog/irn509226
"Oral History , Accession Number: 2001.213.23 , RG Number: RG-50.969.0023",interview: 2000 November 28,https://collections.ushmm.org/search/catalog/irn558447
"Oral History , Accession Number: 2001.317 , RG Number: RG-50.549.03.0004",interview: 2001 February 09,https://collections.ushmm.org/search/catalog/irn509061
"Oral History , Accession Number: 1992.A.0128.92 , RG Number: RG-50.165.0092",interview: 1989 July 26,https://collections.ushmm.org/search/catalog/irn511313
"Oral History , Accession Number: 1992.A.0127.1 , RG Number: RG-50.154.0001",interview: 1986 April 11,https://collections.ushmm.org/search/catalog/irn510721
"Oral History , Accession Number: 1993.A.0094.16 , RG Number: RG-50.150.0016",interview: 1978 January 28,https://collections.ushmm.org/search/catalog/irn510619
"Oral History , Accession Number: 1989.346.65 , RG Number: RG-50.031.0065",interview: 1983 September 19,https://collections.ushmm.org/search/catalog/irn507495
"Oral History , Accession Number: 2009.321 , RG Number: RG-50.030.0543",interview: 2009 November 01interview: 2010 October 08,https://collections.ushmm.org/search/catalog/irn39792
"Oral History , Accession Number: 1992.A.0124.5 , RG Number: RG-50.028.0005",interview: 1993 June 05,https://collections.ushmm.org/search/catalog/irn508743
"Oral History , RG Number: RG-50.999.0486",interview: 2014 July 17,https://collections.ushmm.org/search/catalog/irn598599
"Oral History , Accession Number: 2011.112.1 , RG Number: RG-50.655.0001",interview: 2010 October 07interview: 2010 November 05,https://collections.ushmm.org/search/catalog/irn43017
"Oral History , Accession Number: 1998.A.0195 , RG Number: RG-50.549.02.0023",interview: 1998 September 24,https://collections.ushmm.org/search/catalog/irn506659
"Oral History , Accession Number: 1999.A.0008 , RG Number: RG-50.549.02.0032",interview: 1999 January 10,https://collections.ushmm.org/search/catalog/irn506695
"Oral History , Accession Number: 1999.A.0122.773 , RG Number: RG-50.477.0773",interview: 1991 June 20interview: 1991 February 28,https://collections.ushmm.org/search/catalog/irn515720
"Oral History , Accession Number: 1999.A.0122.1277 , RG Number: RG-50.477.1277",interview: 1989 March 26,https://collections.ushmm.org/search/catalog/irn46014
"Oral History , Accession Number: 2019.253.1951 , RG Number: RG-90.063.1951",interview: 2014 July 31,https://collections.ushmm.org/search/catalog/irn719322
"Oral History , RG Number: RG-50.030.0322",interview: 1995 April 13,https://collections.ushmm.org/search/catalog/irn504816
"Oral History , Accession Number: 1996.A.0557 , RG Number: RG-50.106.0052",interview: 1996 October 24,https://collections.ushmm.org/search/catalog/irn507550
"Oral History , Accession Number: 1992.A.0128.137 , RG Number: RG-50.165.0137",Unknown,https://collections.ushmm.org/search/catalog/irn511354
"Oral History , Accession Number: 2010.366 , RG Number: RG-50.030.0603",interview: 2010 October 17,https://collections.ushmm.org/search/catalog/irn42216
"Oral History , RG Number: RG-50.999.0466",interview: 2014 May 08,https://collections.ushmm.org/search/catalog/irn598579
"Oral History , Accession Number: 1992.A.0125.8 , RG Number: RG-50.233.0008",Unknown,https://collections.ushmm.org/search/catalog/irn509085
"Oral History , Accession Number: 1999.A.0122.1177 , RG Number: RG-50.477.1177",interview: 1989 July 19,https://collections.ushmm.org/search/catalog/irn45876
